"userID","customerName","AverageUnitsOrdered"
72,"Tekni Collectables Inc.",47.0476
83,"GiftsForHim.com",43.4375
103,"The Sharp Gifts Warehouse",41.4000
33,"UK Collectables, Ltd.",41.1333
38,"Mini Caravy",41.0000
85,"Gifts4AllAges.com",39.8462
113,"West Coast Collectables Co.",39.3077
117,"Iberia Gift Imports, Corp.",39.2667
121,"Diecast Collectables",38.6111
1,"Atelier graphique",38.5714
40,"Enaco Distributors",38.3478
46,"Collectable Mini Designs Co.",38.1600
35,"Online Mini Collectables",38.1333
106,"Microscale Inc.",38.1000
105,"Super Scale Inc.",37.4118
39,"King Kong Collectables, Co.",37.2500
95,"Auto Canal+ Petit",37.0741
16,"Muscle Machine Inc",36.9792
92,"Cruz & Sons Co.",36.9615
8,"Blauer See Auto, Co.",36.8636
102,"Scandinavian Gift Ideas",36.7727
70,"Down Under Souveniers, Inc",36.7609
86,"Online Diecast Creations Co.",36.7059
13,"Danish Wholesale Imports",36.5278
97,"Extreme Desk Decorations, Ltd",36.3793
24,"La Corne D'abondance, Co.",36.3478
107,"Corrida Auto Replicas, Ltd",36.3438
73,"Australian Gift Network, Co",36.3333
59,"Marta's Replicas Co.",36.1481
26,"Gift Depot Inc.",36.1200
91,"Salzburg Collectables",36.0500
71,"Stylish Desk Decors, Co.",36.0385
77,"CAF Imports",36.0000
99,"Classic Legends Inc.",36.0000
53,"Toms SpezialitÃ¤ten, Ltd",36.0000
94,"Tokyo Collectables, Ltd",35.9375
11,"Euro+ Shopping Channel",35.8930
32,"Auto-Moto Classics Inc.",35.8750
17,"Diecast Classics Inc.",35.8387
67,"Mini Classics",35.7308
78,"Men 'R' US Retailers, Ltd.",35.7143
104,"Mini Auto Werke",35.4667
15,"Dragon Souveniers, Ltd.",35.4419
52,"Auto AssociÃ©s & Cie.",35.3889
6,"Mini Gifts Distributors Ltd.",35.3667
36,"Toys4GrownUps.com",35.3333
69,"Corporate Gift Ideas Co.",35.2927
101,"Gift Ideas Corp.",35.0526
29,"Toys of Finland, Co.",35.0333
3,"Australian Collectors, Co.",35.0182
81,"Reims Collectables",34.9512
23,"Daedalus Designs Imports",34.9500
30,"AV Stores, Co.",34.8627
122,"Kelly's Gift Shop",34.8462
14,"Saveley & Henriot, Co.",34.8293
58,"Souveniers And Things Co.",34.8043
61,"Vida Sport, Ltd",34.7742
90,"Royale Belge",34.7500
109,"FunGiftIdeas.com",34.7308
65,"Oulu Toy Supplies, Inc.",34.6875
18,"Technics Stores Inc.",34.6765
27,"Osaka Souveniers Co.",34.6000
4,"La Rochelle Gifts",34.5660
47,"giftsbymail.co.uk",34.4231
57,"Rovelli Gifts",34.3750
74,"Suominen Souveniers",34.3667
48,"Alpha Cognac",34.3500
19,"Handji Gifts& Co",34.3333
119,"Signal Collectibles Ltd.",34.2667
51,"Lyon Souveniers",34.2000
12,"Volvo Model Replicas, Co",34.0526
41,"Boards & Toys Co.",34.0000
112,"Frau da Collezione",34.0000
5,"Baane Mini Imports",33.8125
10,"Land of Toys Inc.",33.6286
54,"Royal Canadian Collectables, Ltd.",33.5769
20,"Herkku Gifts",33.5517
89,"Collectables For Less Inc.",33.1250
9,"Mini Wheels Co.",32.9524
93,"L'ordine Souveniers",32.8205
62,"Norway Gifts By Mail, Co.",32.7917
43,"Heintze Collectables",32.6667
44,"QuÃ©bec Home Shopping Network",32.5909
68,"Mini Creations Ltd.",32.5714
25,"Cambridge Collectables Co.",32.4545
50,"Amica Models & Co.",32.4231
80,"Marseille Mini Autos",32.1600
2,"Signal Gift Stores",32.0345
34,"Canadian Gift Exchange Network",31.9545
56,"Anna's Decorations, Ltd",31.9348
66,"Petit Auto",31.8400
76,"Classic Gift Ideas, Inc",31.8095
118,"Motor Mint Distributors Inc.",31.7391
28,"Vitachrome Inc.",31.4800
111,"Australian Collectables, Ltd",30.6522
31,"Clover Collections, Co.",30.6250
120,"Double Decker Gift Stores, Ltd",29.7500
98,"Bavarian Collectables Imports, Co.",28.6429
